Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN42674,,"Hoveton, Worstead and Mundesley to Sidestrand Special School ",Single award contract,CHILDREN,,,"Hoveton, Worstead and Mundesley to Sidestrand Special School ",Passenger transport.Education  Special Needs,,,,,07/01/2014,31/07/2015,31/07/2015,31/07/2015,"52,963.15",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN42675,,"Gorleston and Great Yarmouth to John Grant School, Caister ",Single award contract,CHILDREN,,,"Gorleston and Great Yarmouth to John Grant School, Caister ",Passenger transport.Education  Special Needs,,,,,08/01/2014,31/07/2015,31/07/2015,31/07/2015,"41,466.85",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN42677,,"Gorleston & Hales Green to Hobart High School, Loddon ",Single award contract,CHILDREN,,,"Gorleston & Hales Green to Hobart High School, Loddon ",Passenger transport.Education Mainstream,,,,,03/02/2014,31/07/2015,31/07/2015,31/07/2015,"23,460.58",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN42678,,"Great Yarmouth, Lingwood and Salhouse to Woodfields School, Sheringham ",Single award contract,CHILDREN,,,"Great Yarmouth, Lingwood and Salhouse to Woodfields School, Sheringham ",Passenger transport.Education  Special Needs,,,,,03/02/2014,31/07/2015,31/07/2015,31/07/2015,"74,904.25",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44046,,"Loddon to Manor Field Infant School SRB Unit, Long Stratton ",Framework agreement,CHILDREN,,,"Loddon to Manor Field Infant School SRB Unit, Long Stratton ",Passenger transport.Education Mainstream,,,,,04/09/2014,12/04/2015,12/04/2015,31/08/2015,"27,999.75",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44047,,"Norwich NR7 to The Hall School, Norwich ",Framework agreement,CHILDREN,,,"Norwich NR7 to The Hall School, Norwich ",Passenger transport.Education  Special Needs,,,,,24/08/2014,27/03/2015,27/03/2015,27/03/2015,"14,773.15",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44048,,"BUS 26 - The Clare School, Norwich to The Squirrels, Aylsham ",Framework agreement,CHILDREN,,,"BUS 26 - The Clare School, Norwich to The Squirrels, Aylsham ",Passenger transport.Education  Special Needs,,,,,04/09/2014,25/03/2016,25/03/2016,31/03/2020,"195,973.29",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44049,,"Hopton and Brundall to Harford Manor School, Norwich ",Framework agreement,CHILDREN,,,"Hopton and Brundall to Harford Manor School, Norwich ",Passenger transport.Education  Special Needs,,,,,24/08/2014,25/03/2016,25/03/2016,31/03/2020,"169,341.53",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44050,,"The Clare School, Norwich  to Little Acorns, Gorleston ",Framework agreement,CHILDREN,,,"The Clare School, Norwich  to Little Acorns, Gorleston ",Passenger transport.Education  Special Needs,,,,,04/09/2014,25/03/2016,25/03/2016,24/08/2020,"112,396.19",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44051,,"Norwich and Loddon to Bramfield House School, Halesworth, Suffolk ",Framework agreement,CHILDREN,,,"Norwich and Loddon to Bramfield House School, Halesworth, Suffolk ",Passenger transport.Education  Special Needs,,,,,04/09/2014,31/08/2019,31/08/2019,31/08/2022,"384,296.60",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44052,,Gorleston and Ludham to Lessingham All Saints School with PA ,Framework agreement,CHILDREN,,,Gorleston and Ludham to Lessingham All Saints School with PA ,Passenger transport.Education  Special Needs,,,,,04/09/2014,31/08/2018,31/08/2018,31/08/2022,"167,085.48",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44053,,"East Norwich Zone 1 (NR7, NR12 and NR13) to Thorpe St Andrew catchment schools ",Framework agreement,CHILDREN,,,"East Norwich Zone 1 (NR7, NR12 and NR13) to Thorpe St Andrew catchment schools ",Passenger transport.Education Mainstream,,,,,03/09/2014,31/08/2020,31/08/2020,31/08/2022,"302,376.41",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44054,,"Needham, Loddon and Bradwell to Copperfields School, Great Yarmouth, Cliff Park Junior to Flixton PM only ",Framework agreement,CHILDREN,,,"Needham, Loddon and Bradwell to Copperfields School, Great Yarmouth, Cliff Park Junior to Flixton PM only ",Passenger transport.Education  Special Needs,,,,,04/09/2014,31/08/2019,31/08/2019,31/08/2022,"143,085.93",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44055,,"Norwich to Copperfields School, Great Yarmouth ",Framework agreement,CHILDREN,,,"Norwich to Copperfields School, Great Yarmouth ",Passenger transport.Education  Special Needs,,,,,04/09/2014,31/08/2019,31/08/2019,31/08/2022,"105,263.85",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44056,,"East Ruston to Copperfields School, Great Yarmouth  ",Framework agreement,CHILDREN,,,"East Ruston to Copperfields School, Great Yarmouth  ",Passenger transport.Education  Special Needs,,,,,04/09/2014,31/08/2017,31/08/2017,31/08/2019,"70,184.44",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44057,,"Norwich to Acorn Park School, Banham ",Framework agreement,CHILDREN,,,"Norwich to Acorn Park School, Banham ",Passenger transport.Education  Special Needs,,,,,24/08/2014,31/07/2016,31/07/2016,31/07/2022,"239,859.12",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44058,,"Norwich to Knossington Grange School, Oakham, Rutland ",Framework agreement,CHILDREN,,,"Norwich to Knossington Grange School, Oakham, Rutland ",Passenger transport.Education  Special Needs,,,,,02/09/2014,31/07/2021,31/07/2021,31/07/2021,"217,824.66",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44060,,"Norwich, Filby, Gt Yarmouth, Gorleston and Bradwell to Breakout, Lowestoft ",Framework agreement,CHILDREN,,,"Norwich, Filby, Gt Yarmouth, Gorleston and Bradwell to Breakout, Lowestoft ",Passenger transport.Education  Special Needs,,,,,04/09/2014,21/07/2015,21/07/2015,31/07/2022,"138,259.62",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44061,,Norwich area (NR1 to NR8) to Respect 4 Us and East Coast - Gorleston ,Framework agreement,CHILDREN,,,Norwich area (NR1 to NR8) to Respect 4 Us and East Coast - Gorleston ,Passenger transport.Education  Special Needs,,,,,04/09/2014,21/07/2015,21/07/2015,31/07/2022,"306,214.99",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44062,,"North and East Norfolk area to Respect 4 Us and East Coast, Gorleston ",Framework agreement,CHILDREN,,,"North and East Norfolk area to Respect 4 Us and East Coast, Gorleston ",Passenger transport.Education  Special Needs,,,,,04/09/2014,21/07/2015,21/07/2015,31/07/2022,"194,555.33",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44063,,Hopton to Great Yarmouth ,Framework agreement,CHILDREN,,,Hopton to Great Yarmouth ,Passenger transport.Education Post 16,,,,,04/09/2014,31/07/2015,31/07/2015,31/07/2022,"52,749.05",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44064,,"Gorleston, Caister and Winterton to City College, Norwich ",Framework agreement,CHILDREN,,,"Gorleston, Caister and Winterton to City College, Norwich ",Passenger transport.Education Post 16,,,,,01/09/2014,10/07/2015,10/07/2015,10/07/2017,"79,268.00",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44065,,"Hopton, Great Yarmouth and Acle to Easton and Otley College, Easton ",Framework agreement,CHILDREN,,,"Hopton, Great Yarmouth and Acle to Easton and Otley College, Easton ",Passenger transport.Education Post 16,,,,,01/09/2014,19/06/2015,19/06/2015,19/06/2017,"92,568.00",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44066,,South Norfolk Area to the Locksley school and associated units ,Framework agreement,CHILDREN,,,South Norfolk Area to the Locksley school and associated units ,Passenger transport.Education  Special Needs,,,,,04/09/2014,31/08/2019,31/08/2019,31/08/2022,"1,079,767.13",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44067,,"Bawburgh and Yaxham to SENSE, Dereham ",Framework agreement,CHILDREN,,,"Bawburgh and Yaxham to SENSE, Dereham ",Passenger transport.Education  Special Needs,,,,,01/09/2014,31/07/2016,31/07/2016,31/07/2022,"254,240.82",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44068,,"Strumpshaw, Freethorpe, Beighton, Filby and East Ruston to Lessingham All",Framework agreement,CHILDREN,,,"Strumpshaw, Freethorpe, Beighton, Filby and East Ruston to Lessingham All",Passenger transport.Education  Special Needs,,,,,04/09/2014,31/07/2016,31/07/2016,31/07/2022,"184,847.10",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44069,,"Diss to Chapel Road School, Attleborough ",Framework agreement,CHILDREN,,,"Diss to Chapel Road School, Attleborough ",Passenger transport.Education  Special Needs,,,,,01/09/2014,21/07/2015,21/07/2015,31/07/2015,"41,428.85",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44070,,Bradwell to Sidestrand Hall Special School ,Framework agreement,CHILDREN,,,Bradwell to Sidestrand Hall Special School ,Passenger transport.Education  Special Needs,,,,,04/09/2014,31/07/2019,31/07/2019,31/07/2022,"223,920.47",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Norwich to Bramfield House ,Single award contract,CHILDREN,,,Norwich to Bramfield House ,Passenger transport.Education  Special Needs,,,,,10/11/2014,31/07/2015,31/07/2015,21/07/2015,"6,321.53",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44835,,"Bradwell to Pathways College, Norwich ",Framework agreement,CHILDREN,,,"Bradwell to Pathways College, Norwich ",Passenger transport.Education Post 16,,,,,03/12/2014,21/07/2015,21/07/2015,21/07/2015,"9,578.08",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44836,,"Gorleston to On Track Education Centre, Mildenhall ",Framework agreement,CHILDREN,,,"Gorleston to On Track Education Centre, Mildenhall ",Passenger transport.Education  Special Needs,,,,,06/01/2015,31/07/2015,31/07/2015,31/07/2015,"15,012.60",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44837,,"BUS 32 - Norton Subcourse to Clare School, Norwich ",Framework agreement,CHILDREN,,,"BUS 32 - Norton Subcourse to Clare School, Norwich ",Passenger transport.Education  Special Needs,,,,,06/01/2015,31/07/2015,31/07/2015,31/07/2015,"12,331.78",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44838,,"Starston to St Edmunds Society and Locksley School, Norwich ",Framework agreement,CHILDREN,,,"Starston to St Edmunds Society and Locksley School, Norwich ",Passenger transport.Education  Special Needs,,,,,06/01/2015,30/06/2015,30/06/2015,30/06/2015,"4,645.89",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44839,,"Wymondham and Hethersett to East Coast, Gorleston ",Framework agreement,ETD,,,"Wymondham and Hethersett to East Coast, Gorleston ",Passenger transport.,,,,,06/01/2015,21/07/2015,21/07/2015,21/07/2015,"8,447.87",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44840,,Hopton to Southtown Primary School ,Framework agreement,CHILDREN,,,Hopton to Southtown Primary School ,"Passenger transport.Education  Special Needs, Childrens Social Care",,,,,06/01/2015,24/03/2016,24/03/2016,31/07/2016,"21,819.37",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,APN45463,,Norwich to Southtown Primary ,Single award contract,CHILDREN,,,Norwich to Southtown Primary ,Passenger transport.Childrens Social Care,,,,,07/01/2015,27/03/2015,27/03/2015,27/03/2015,"3,742.22",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN45464,,"Great Yarmouth to Eaton Hall School, Norwich ",Framework agreement,CHILDREN,,,"Great Yarmouth to Eaton Hall School, Norwich ",Passenger transport.Education  Special Needs,,,,,26/01/2015,31/07/2015,31/07/2015,31/07/2015,"14,997.72",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN45465,,"Norwich to Acorn Park School, Banham ",Framework agreement,CHILDREN,,,"Norwich to Acorn Park School, Banham ",Passenger transport.Education  Special Needs,,,,,01/02/2015,31/07/2015,31/07/2015,31/07/2016,"36,038.99",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"Great Yarmouth to Acorn Park School, Banham ",Single award contract,CHILDREN,,,"Great Yarmouth to Acorn Park School, Banham ",Passenger transport.Education  Special Needs,,,,,09/02/2015,20/03/2015,20/03/2015,31/07/2018,"118,809.86",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
