category,date,total_spend,YYYY,MM
Contract Overheads,2013-01-01,240000,2013,1
Direct Payments - Short Term Break,2014-03-01,549.37,2014,3
Fuel Oil,2013-05-01,11719.1,2013,5
Highway Traffic Signals and Systems Upgrade Works,2012-05-01,5699,2012,5
Homelessness Support Child In Need,2012-06-01,4315,2012,6
Personal Budget - Domiciliary Care,2011-04-01,8556.15,2011,4
Highway Illuminated Signs Energy,2011-12-01,50421,2011,12
Contract Cleaning & Other Cleaning Services,2014-05-01,610.12,2014,5
Staff Advertising  Expenses,2014-01-01,24849.1,2014,1
Voluntary Driver Payments,2011-12-01,6946.16,2011,12
Fixed Price Vehicle Maintenance,2014-04-01,9018.71,2014,4
Payments-Other Bodies-General,2011-01-01,14384.6,2011,1
Escorts (Home to School Transport),2011-04-01,948.3,2011,4
Agency Staff - Permanent Teachers,2011-09-01,4166.5,2011,9
Structural Building Work,2011-07-01,14633.43,2011,7
Fire Alarms,2011-02-01,16319.17,2011,2
Paid School Meals Payments,2012-01-01,364972.6,2012,1
Recharge Room Hire,2012-03-01,1384.73,2012,3
"Certificate - Electricity, Power & Light",2014-06-01,7257.57,2014,6
ICT Other Running Costs,2012-03-01,14482.86,2012,3
Highway Drainage Rodding and Jetting,2011-09-01,13206.08,2011,9
Furniture Purchases,2011-04-01,5018.9,2011,4
Highway Winter Gritting,2012-03-01,3822.75,2012,3
Care Leavers Rent & Accommodation,2014-06-01,45073.86,2014,6
Consultants Fees - Environmental,2013-01-01,1733.91,2013,1
Fixed Price Vehicle Maintenance,2012-08-01,33154.15,2012,8
Contract Taxi Hire,2011-09-01,3127.89,2011,9
Special Guardianship Child In Need,2013-12-01,12637.89,2013,12
Housing Related Support-Other Bodies,2012-07-01,37129.03,2012,7
Vehicle Fuel,2011-11-01,19768.35,2011,11
Highway Drainage Repairs,2012-09-01,9035.78,2012,9
General Equipment,2011-09-01,962.58,2011,9
Bmf Generators & Repairs Arising,2014-08-01,627,2014,8
Highway Traffic Signals and Systems Accident Damage,2011-10-01,4606.63,2011,10
Temporary Staff Admin & Clerical,2011-06-01,3693.6,2011,6
Equipment Purchases,2011-02-01,55667.1,2011,2
Foster Care Retainer Pay,2013-11-01,4512.6,2013,11
Equipment Leasing Costs,2012-07-01,3332.57,2012,7
Highway Lighting Repairs,2014-04-01,5371.37,2014,4
Services of Solicitors Agents,2011-06-01,500,2011,6
Furniture Purchases,2013-06-01,948.8,2013,6
Cleaning Materials Purchases,2013-03-01,2376.7,2013,3
Printing Stationery and Photocopying,2012-11-01,87063.38,2012,11
Escorts (Home to School Transport),2013-06-01,1648.5,2013,6
Highway Traffic Signals and Systems Outstation Communication Maintenance,2013-09-01,13572.28,2013,9
Certificate - Plant Replacement,2011-12-01,48195.24,2011,12
Estate / Site Management Costs,2014-06-01,19095.87,2014,6
"Own Disbursements, Other",2014-05-01,5415,2014,5
Highway Lighting Repairs,2012-08-01,3364,2012,8
Bmpp Gas Pressure Testing,2013-03-01,289.07,2013,3
Highway Safety Barriers,2011-12-01,71066.41,2011,12
Construction - Enabling Works,2011-06-01,3200,2011,6
Foster Care Retainer Pay,2013-02-01,-12345.74,2013,2
Building Maintenance & Repairs,2012-05-01,97004.5,2012,5
Cost of Sales,2012-09-01,4152.36,2012,9
Mgt Fees - Gen,2011-11-01,1172.5,2011,11
Office Equipment & Supplies,2011-08-01,2482.97,2011,8
Purchase Of Equipment,2014-04-01,128822,2014,4
Training Equipment,2011-01-01,3122.06,2011,1
Insurance Premiums Paid -External,2012-02-01,6700.75,2012,2
Staff Subsistence & Conference Expenses,2011-05-01,21130.52,2011,5
Highway Street Lighting Energy,2014-03-01,168760.56,2014,3
Casual Labour,2012-05-01,1908.45,2012,5
Building / Planning Applications,2013-08-01,45507.31,2013,8
Books and Publications,2011-08-01,24059.73,2011,8
Purchase Of Equipment,2012-08-01,2728.93,2012,8
CMW M&E Other,2011-12-01,6961.39,2011,12
Agency Staff - Drivers,2012-03-01,10695.3,2012,3
Bmf Building Repairs,2014-03-01,14617.17,2014,3
Bmpp Reroofing,2013-03-01,4423.96,2013,3
Supply Teachers,2011-11-01,465.99,2011,11
Foster Care Child In Care Holiday Allowance,2011-05-01,1168,2011,5
Phones-Chronically Sick and Disabled Persons Act,2011-02-01,552.24,2011,2
Highway Kerb Footway and Cycleway Repairs,2012-01-01,7583.75,2012,1
Training Centre Courses,2011-04-01,6750,2011,4
Materials Purchases,2011-03-01,255127.36,2011,3
Fire Service Feeding At Fires,2011-11-01,563.8,2011,11
"Equipment Repairs, Maintenance & Servicing",2014-08-01,10255.72,2014,8
Personal Budget - Domiciliary Care,2013-06-01,204709.39,2013,6
Equipment Purchases,2013-10-01,154607.74,2013,10
Site Works - Land,2012-07-01,1388.3,2012,7
Plant Replacements,2011-06-01,42893.62,2011,6
Electrical Rewiring,2011-05-01,1981.04,2011,5
Domiciliary Care,2011-08-01,1438329.05,2011,8
Sundry Purchases,2012-08-01,554,2012,8
Operational Staff - Scale A to J,2012-12-01,8332.26,2012,12
Refuse Collection Costs,2011-02-01,2516.1,2011,2
Highway Winter Salt Barn Availability Charge under PFI,2011-09-01,38169.18,2011,9
Staff Subsistence & Conference Expenses,2012-04-01,18009.31,2012,4
Spoken Word Cassettes,2014-08-01,6369.4,2014,8
Alterations To Service - Electricity,2011-01-01,20972,2011,1
Contract Transport  Hire,2012-06-01,2047161.1,2012,6
Other Professional Services,2013-01-01,86389.05,2013,1
Placement Cost - Agency Fee,2012-02-01,6569,2012,2
Workshop Personal -Transport Duties,2014-04-01,1930.5,2014,4
Bmpp Fire Alarms,2014-07-01,7859.57,2014,7
Premises Staff Overtime,2011-11-01,1231.3,2011,11
School Academy Payments,2013-07-01,218166.22,2013,7
Road Maintenance Contractor Payments,2012-12-01,99094.26,2012,12
Child In Care Agency Fostering,2012-09-01,1009130.04,2012,9
Child In Care Residential Home In Norfolk,2013-02-01,235253.67,2013,2
Maintenance Of Buildings,2011-03-01,631.17,2011,3
Contract Transport  Hire,2014-07-01,2295286.91,2014,7
Purchase Of IT,2011-12-01,106591.35,2011,12
Agency Staff - Social Services Operational-Other1 April,2012-04-01,16129.14,2012,4
Telephone Rental & Calls,2012-12-01,31910.2,2012,12
Alterations To Service - Electricity,2014-07-01,162358.68,2014,7
Bmf Asphalting,2012-12-01,3050,2012,12
Protective Clothing and Uniforms,2011-03-01,20692.43,2011,3
Bmpp Electrical Installation Testing,2013-11-01,43528.25,2013,11
Reroofing,2011-02-01,14939.22,2011,2
Grounds Maintenance Costs,2011-09-01,97490.22,2011,9
Postage & Postal Services,2012-02-01,4621,2012,2
Child In Care Residential School 52 Week In Norfolk,2012-11-01,211361.12,2012,11
Building Alterations & Improvements,2013-09-01,51555.68,2013,9
Agency Staff - Operational Hay & M,2014-07-01,8746.84,2014,7
Library Books - Junior Non Fiction,2011-11-01,1530.93,2011,11
Highway Grass Cutting,2012-08-01,51686.56,2012,8
Highway Rechargeable Works Payments,2013-11-01,5117.65,2013,11
Bmf Equipment Inspection/Testing,2013-08-01,5020.11,2013,8
Alterations To Service - Electricity,2012-06-01,46692.58,2012,6
Bmpp Gas Appliances & Repairs Test,2014-07-01,7668.68,2014,7
Certificate - Environment Control Systems,2013-10-01,8264.4,2013,10
Agency Staff - Operational Hay & M,2012-06-01,10134.07,2012,6
Gas Appliances & Repairs Test,2011-06-01,12929.94,2011,6
Care Leavers Independent Living Grant,2013-01-01,548.92,2013,1
Highway Landscape Maintenance,2011-12-01,590,2011,12
Learning Resources Purchases,2011-02-01,877.9,2011,2
Child In Care Residential Home In Norfolk,2013-11-01,207024.02,2013,11
Refuse Collection Costs,2013-10-01,1395.38,2013,10
Library Books - Adult Fiction,2013-09-01,9631.06,2013,9
Operational - Manual,2011-04-01,17156.13,2011,4
Highway Emergency Cleansing,2013-09-01,648.57,2013,9
Own Disbursements Other,2011-10-01,1077.4,2011,10
Bmpp Security Systems,2012-12-01,5400.02,2012,12
Construction Costs - Roads - HOPS,2012-01-01,3044.16,2012,1
Repair & Replacement Of Light Fittings,2012-09-01,8832.88,2012,9
Non Staff Advertising - Discretionary,2013-01-01,39348.8,2013,1
Agency Staff - Admin & Clerical - Scale A to J,2012-01-01,11097.75,2012,1
Private Contractor Subsidy Payments,2012-03-01,348724.45,2012,3
Contact Arrangements,2014-01-01,912.5,2014,1
Agency Staff - Supply Teachers,2012-09-01,9376.56,2012,9
Long Term Residential Care,2011-09-01,7867257.93,2011,9
Fuel Oil,2013-12-01,2083.2,2013,12
Other Vehicles Running Costs,2013-03-01,5920.74,2013,3
Contract Cleaning & Other Cleaning Services,2013-07-01,5969,2013,7
Agency Staff - Relief Assistant Warden,2013-11-01,7712.36,2013,11
Buildings Fixtures & Fittings,2012-11-01,8260.92,2012,11
Customer Research & Insight,2014-06-01,17699.5,2014,6
Short-term Vehicle Hire,2014-02-01,649.76,2014,2
DVD'S,2012-11-01,9418.67,2012,11
Other Travel Expenses,2011-08-01,1192,2011,8
Special Guardianship Child In Need,2013-04-01,5508,2013,4
Agency Staff - Operational APT&C,2014-03-01,676399.07,2014,3
Highway Rechargeable Works Payments,2013-02-01,66320.31,2013,2
Meetings Of Foster Parents,2011-03-01,2904.98,2011,3
Adaptation/Improvement-Existing Buildings,2013-02-01,692,2013,2
Other Support Costs,2011-08-01,750,2011,8
Highway Patching to Carriageway,2012-09-01,194604.36,2012,9
Books,2011-01-01,942,2011,1
Short Term Care with Nursing,2011-07-01,8957.27,2011,7
Special Guardianship Child In Need,2013-05-01,8336,2013,5
Highway Verge Hedge and Tree Maintenance,2013-10-01,962.01,2013,10
Learning Resources Purchases,2013-10-01,2248,2013,10
Day Care / Supported Activities,2012-05-01,202558.49,2012,5
Bmpp Electrical Installation Testing,2013-02-01,11460.53,2013,2
Courier Services,2011-03-01,224,2011,3
Medical Requisites & Drugs Etc,2012-05-01,818,2012,5
Building Alterations & Improvements,2014-08-01,458,2014,8
Child In Care Residential Education Only,2011-06-01,9976,2011,6
Staff Car & Cycle Allowances,2012-04-01,433.11,2012,4
Contract Transport  Hire,2014-03-01,1679164.23,2014,3
Advertising & Marketing,2012-09-01,428.74,2012,9
Postage & Postal Services,2011-12-01,6607.09,2011,12
M&E Other (Schools),2013-04-01,113114.88,2013,4
Construction-Eci-Management,2011-08-01,17631.67,2011,8
Bmpp Fire Alarms,2014-03-01,11918.21,2014,3
Personal Budget - Day Care,2012-10-01,101916.2,2012,10
Contact Arrangements,2013-11-01,4637.5,2013,11
Highway Winter Salt Usage,2014-03-01,313662.94,2014,3
Lifts Maintenance & Repairs,2011-08-01,6924.35,2011,8
Housing Related Support-Other Bodies,2013-01-01,10258.79,2013,1
Private Voluntary Independent School Pre-school & Playgroup,2011-10-01,400307.18,2011,10
Non Staff Public Transport Costs,2014-05-01,829165.2,2014,5
Grant Payments,2011-02-01,164316.85,2011,2
Staff Training Costs,2013-06-01,50448.45,2013,6
Road Fund Driving & Operators Licences,2011-09-01,932.5,2011,9
Panel Funded Staff,2011-08-01,516.88,2011,8
Highway Fencing Repairs,2013-11-01,2705.4,2013,11
Operational Staff Overtime,2011-01-01,2222.5,2011,1
Child In Care Residential Home In Norfolk,2014-01-01,231234.6,2014,1
M&E Other (Schools),2013-05-01,77237.85,2013,5
Swimming Pool Plant,2012-07-01,2869.22,2012,7
Supporting Families with Disabilities - Domiciliary Care,2012-11-01,2848.1,2012,11
Premises Insurance,2011-10-01,1034.48,2011,10
Highway Gulley Emptying,2013-09-01,91501.04,2013,9
Internal Recharge Schools,2011-10-01,875,2011,10
Staff Interview Expenses,2014-04-01,1890.92,2014,4
Direct Payment - Domiciliary Care,2011-05-01,11074.22,2011,5
General Equipment/Tools/Materials-Purchase,2011-05-01,1254.65,2011,5
Vehicle  Leasing Costs,2011-05-01,16886.02,2011,5
Landfill Leachate Costs,2013-01-01,3382.69,2013,1
Certificate - Building Fabric,2011-04-01,8145.89,2011,4
Highway Kerb Footway and Cycleway Repairs,2012-05-01,5100.14,2012,5
Water and Sewerage Costs,2012-07-01,1140.52,2012,7
Contract Plant & Machinery Hire,2013-05-01,97964.6900000001,2013,5
Bmpp Gas Appliances & Repairs Test,2014-03-01,6565.43,2014,3
Schedule of Rates Vehicle Maintenance,2013-01-01,2691.31,2013,1
Swimming & Games Facilities,2014-06-01,6804,2014,6
Agency Staff - Operational Hay & M,2014-03-01,25960,2014,3
Agency Staff - Operational - Manual,2013-02-01,49540.13,2013,2
Contract Overheads,2012-07-01,120000,2012,7
Contract Plant & Machinery Hire,2013-04-01,145198.27,2013,4
Alterations To Service - Electricity,2014-03-01,148880.54,2014,3
Architects Fees,2011-04-01,726522.81,2011,4
Highway Bridge Maintenance,2011-03-01,108415.65,2011,3
Building Maintenance & Repairs,2012-01-01,84508.27,2012,1
Purchase Of IT,2012-02-01,354284.26,2012,2
Agency Staff - Operational APT&C,2011-01-01,1614.3,2011,1
Certificate - Building Fabric,2013-06-01,1141.9,2013,6
Construction Costs Roads Other,2012-12-01,17986.5,2012,12
Default,2011-01-01,521.7,2011,1
Private Contractor Site Operation Payments,2012-08-01,1303498.51,2012,8
Payments to Organisations Providing Services To NCC,2011-05-01,418322.73,2011,5
Construction Cost-Adaptation/Improvement Building,2011-08-01,3589934.41,2011,8
Highway Traffic Signals and Systems Upgrade Works,2012-01-01,1686.96,2012,1
Highway Road Sign Maintenance,2012-01-01,3667.77,2012,1
Consultants Design Fees,2012-09-01,13687.14,2012,9
Illustration,2011-04-01,560,2011,4
Personal Budget - Day Care,2011-10-01,30615.1,2011,10
Vehicle Abuse/Wear & Tear Costs,2014-02-01,914.5,2014,2
Grant Payments,2013-10-01,198816.28,2013,10
Patching - Fen Road,2013-01-01,67564.67,2013,1
Private Voluntary Independent School Pre-school & Playgroup,2012-10-01,102653.23,2012,10
Contact Arrangements,2013-02-01,600,2013,2
Long Term Care with Nursing,2014-06-01,1139813.74,2014,6
Vehicles Purchases,2012-03-01,8800,2012,3
Allocation of Contingency Provision,2011-02-01,-3111.7,2011,2
Architects Fees,2013-06-01,736.6,2013,6
Short Term Residential Care,2011-08-01,82720.83,2011,8
Conservation Grants,2011-03-01,998.8,2011,3
Residence Order Allowance,2012-03-01,585,2012,3
Other Capital,2013-08-01,8713,2013,8
Private Finance Initiative Payments,2011-05-01,811421.3,2011,5
Child In Care Other,2012-04-01,817.61,2012,4
Other Hired & Contracted Services,2011-07-01,482070.44,2011,7
Private Contractor Site Operation Payments,2014-04-01,4066119.24,2014,4
Highway Weed spraying,2011-10-01,9439.01,2011,10
Library Books - Adult Fiction,2014-08-01,2349.08,2014,8
Agency Staff - Operational APT&C,2014-07-01,584844.86,2014,7
Enquiry Agents Fees,2011-09-01,1040.78,2011,9
Agency Staff - Operational - Manual,2013-11-01,76445.17,2013,11
Electrical Installation Testing,2011-04-01,45083.4,2011,4
On-Line Bank Charges,2014-06-01,1892.01,2014,6
Sessional Fees,2011-07-01,21536.85,2011,7
Adaptation/Improvement-Existing Buildings,2014-01-01,5987.79,2014,1
Highway Rechargeable Works Payments,2014-01-01,1299.95,2014,1
Highway Patching to Carriageway and Footway,2011-06-01,394.26,2011,6
Construction Costs - Roads,2011-09-01,3049784.76,2011,9
Agency Staff - Operational APT&C,2012-06-01,114804.04,2012,6
Bmpp Electrical Installation Testing,2014-01-01,49018.52,2014,1
External Examinations Fees,2012-11-01,4636.35,2012,11
Teaching Support,2013-12-01,1057.7,2013,12
Staff Training Costs,2011-04-01,206240.86,2011,4
Default,2012-06-01,1972.31,2012,6
ICT Software Purchases Licenses & Maintenance,2011-11-01,45750.08,2011,11
Other Capital,2013-06-01,1348.13,2013,6
Highway Traffic Signals and Systems Planned and Contracted Maintenance,2013-07-01,85915.66,2013,7
Agency Staff - Operational Hay & M,2012-12-01,20396.02,2012,12
Operational Staff - Scale A to J,2011-01-01,49951.23,2011,1
Grants To Outside Bodies,2011-12-01,746,2011,12
Special Guardianship Child In Need,2011-12-01,1100,2011,12
CONSTR COSTS - M&E OTHER,2013-07-01,1454.88,2013,7
Alterations To Service - Electricity,2012-12-01,6478.58,2012,12
Architects Fees,2013-08-01,3233.85,2013,8
Day Care / Supported Activities,2012-07-01,391418.61,2012,7
Construction - Enabling Works,2014-08-01,47038,2014,8
Books and Publications,2011-09-01,1645,2011,9
Road Maintenance Contractor Payments,2011-01-01,121352.71,2011,1
Other Professional Services,2012-01-01,320133.76,2012,1
Direct Payment - One Off Payment To Carers,2013-03-01,770,2013,3
Fire Service Feeding At Fires,2012-08-01,4623,2012,8
Certificate - Building Fabric,2013-08-01,55394.49,2013,8
Research & Development,2011-02-01,700,2011,2
Purchase Of Equipment,2011-11-01,395495.26,2011,11
Office Equipment & Supplies,2011-09-01,9226.48,2011,9
Rents and Hire of Premises & Facilities,2013-11-01,63680.39,2013,11
Bmpp Gas Appliances & Repairs Test,2012-12-01,5538.76,2012,12
Telephone Rental & Calls,2011-01-01,74089.65,2011,1
Mobile Phone Rentals,2011-03-01,208.97,2011,3
Road Maintenance Contractor Payments,2012-06-01,74955.12,2012,6
Alterations To Service - Telecom,2012-09-01,3688.45,2012,9
Telephone Rental & Calls,2012-06-01,97432.33,2012,6
Interpreters,2012-09-01,1501.62,2012,9
Bmpp Structural Builidng Work,2014-04-01,9359.35,2014,4
Other (Photos Etc),2013-02-01,877.75,2013,2
Operational Staff - Scale A to J,2014-07-01,1800,2014,7
Library Books-Adult Non Fiction,2011-10-01,31164.48,2011,10
Highway Bridge Maintenance,2013-03-01,48187.13,2013,3
Voluntary Driver Payments,2013-12-01,10352.16,2013,12
Care Leavers Independent Living Grant,2012-01-01,858.46,2012,1
Road Maintenance Contractor Payments,2014-07-01,73986.5,2014,7
Telephone Rental & Calls,2014-07-01,180749.86,2014,7
Contract Transport  Hire,2012-12-01,2080695,2012,12
Gas (mains supplied),2013-03-01,550.01,2013,3
Operational Staff - Scale A to J,2012-06-01,1911.3,2012,6
Care Leavers Rent & Accommodation,2011-05-01,26444.34,2011,5
Bmpp Fire Alarms,2012-12-01,16106.08,2012,12
Admin/ Chief Officers - Scale K and Above,2013-07-01,10780.45,2013,7
Contract Transport Hire,2011-01-01,1289020.1,2011,1
Rents and Hire of Premises & Facilities,2013-02-01,14024.32,2013,2
Vehicle Fuel,2014-04-01,62120.83,2014,4
CMW M&E Other,2013-12-01,1033,2013,12
Agency Staff - Admin & Clerical - Scale A to J,2013-01-01,47640.54,2013,1
Sessional Fees,2012-03-01,38478.22,2012,3
Staff Training Costs,2013-08-01,17344.7,2013,8
Contract Taxi Hire,2011-08-01,4203,2011,8
Personal Budget - Respite Residential Care,2013-07-01,50121.59,2013,7
Vehicle Fuel,2012-08-01,37929.03,2012,8
Highway Landscape Maintenance,2013-04-01,4185.96,2013,4
Highway Drainage Rodding and Jetting,2011-08-01,22449.43,2011,8
Highway Winter Snow Clearing,2014-04-01,1767.38,2014,4
Fixed Price Vehicle Maintenance,2011-11-01,5166.46,2011,11
Non Staff Advertising - Discretionary,2012-01-01,19374.78,2012,1
Purchase Of Books,2011-05-01,719.46,2011,5
Agency Staff - Permanent Teachers,2011-08-01,4944,2011,8
Estate / Site Management Costs,2011-05-01,111618.3,2011,5
Purchase Of IT,2013-05-01,107687.77,2013,5
Welfare/ Learning Support Assistants,2011-03-01,2620,2011,3
Purchase of Care - Unspecified,2013-11-01,2395.25,2013,11
Other Hired & Contracted Services,2012-03-01,285782.46,2012,3
Highway Safety Barriers,2013-12-01,51764.34,2013,12
Staff Subsistence & Conference Expenses,2014-06-01,8980.61,2014,6
Bmpp Security Systems,2014-07-01,5206.79,2014,7
Library Books-Adult Non Fiction,2012-10-01,37051.9,2012,10
Residence Order Allowance,2011-07-01,3395.79,2011,7
